"Player","FG","FGA","3P","3PA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","FG%","3P%","FT%"
"Reggie Bullock",11.4,2.7,6.8,1.3,1.5,0.5,2.4,0.9,0.3,1.2,1.9,14,0.393,0.834,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Trey Burke",16.8,1.8,4.9,2.8,3.5,0.9,5.6,1,0.3,1.8,2,19.8,0.361,0.794,
"Alec Burks",12.9,1.6,4.5,3.2,3.8,0.8,3,1.1,0.5,1.8,2.5,15.4,0.353,0.826,
"Deonte Burton",12.7,1.4,4.3,1.8,2.5,1,2.3,1,1,1.6,4,14.2,0.327,0.727,
"Jimmy Butler",15.1,1.1,3.3,5.5,6.5,1.7,4.5,1.9,0.5,1.7,1.7,20.6,0.349,0.853,
"Bruno Caboclo",10.7,2.1,5.6,2,2.4,1.9,2.5,0.8,1.4,1.7,3.5,13.3,0.364,0.829,
"José Calderón",7.9,1.2,3.7,0.9,1.2,0.7,5.4,1,0.2,2,3.4,8.9,0.336,0.791,
"Kentavious Caldwell-Pope",12.8,2.5,6.9,2.4,2.8,0.9,2.3,1.4,0.2,1.3,2.3,15.9,0.362,0.835,
"Isaiah Canaan",10.5,1.8,5.4,1.9,2.3,0.6,4.7,1,0.2,2,2.9,12.1,0.342,0.834,
"Clint Capela",12,0.1,0.2,2.6,4.3,4.5,1.6,0.8,1.8,1.6,2.9,18.1,0.356,0.616,
"DeMarre Carroll",12.3,2.2,6.4,3.3,4.4,1.5,2,0.9,0.4,1.6,2.6,15.4,0.348,0.758,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Jevon Carter",11.9,2.1,6,1.9,2.3,1,4.2,1.5,0.7,2,3.3,12.2,0.345,0.803,
"Vince Carter",11.8,2.7,7.4,1.3,1.8,0.8,2.4,1.2,0.7,1.4,3.7,13.5,0.365,0.722,
"Wendell Carter",12.2,0.4,1.5,2.9,3.7,2.7,2.8,0.9,1.8,2,4.5,15.5,0.269,0.801,
"Michael Carter-Williams",11.4,0.9,3.2,3,4.1,1.6,5.4,1.8,1.1,2.2,4.2,12.4,0.272,0.716,
"Alex Caruso",10.7,1.4,3.4,2.7,3.5,1.3,4.9,1.5,0.6,2.6,3.4,13.8,0.416,0.78,
"Omri Casspi",10.9,0.9,2.5,2.4,3.5,1.3,2.3,1.2,0.7,1.7,2.9,14.8,0.362,0.695,
"Willie Cauley-Stein",12.6,0.1,0.3,2.4,4.1,2.7,3.1,1.5,1,1.6,3.5,16,0.346,0.591,
"Troy Caupain",13.7,2,4.9,2.4,3.2,1.6,4.2,1.3,0.7,1.9,2.8,17.4,0.4,0.771,
"Tyler Cavanaugh",11.3,1.9,5.4,1.7,2.2,2.5,2.4,0.8,0.4,1.4,3.6,13.7,0.354,0.804,
"Tyson Chandler",5.7,0.1,0.4,2.1,3.3,3.7,1.6,0.8,0.8,1.8,4,8.9,0.333,0.623,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Wilson Chandler",10.1,1.6,4.5,1.2,1.6,1.5,2.5,0.7,0.6,1.5,3.1,11.6,0.358,0.746,
"Joe Chealey",13.3,1.6,4.5,2.6,3.3,1.5,3.8,1.1,0.7,2,3.1,16.5,0.362,0.771,
"Chris Chiozza",12.5,1.8,4.9,2.2,2.9,1.5,3.8,1.1,0.8,1.9,2.9,15.2,0.371,0.772,
"Marquese Chriss",12.2,1.4,4.7,2.4,3.6,2.2,1.9,1.3,1.3,2.4,4.9,14.1,0.292,0.663,
"Gary Clark",9.4,2.2,7.1,0.9,1,1.4,1.6,1.1,1.3,0.7,2.7,10.1,0.31,0.843,
"Ian Clark",13.4,2,6.1,1.3,1.6,0.5,3.2,0.9,0.3,1.8,3.2,14.7,0.33,0.816,
"Jordan Clarkson",18.3,2.2,6.6,2.6,3.2,1.2,3.5,1,0.2,2.3,2,21.4,0.334,0.825,
"John Collins",14.6,0.9,2.5,3.6,4.7,4,2.4,0.6,1.1,2.2,3.9,21.1,0.359,0.76,
"Zach Collins",10.6,1.2,3.5,2.2,2.9,2.5,2,0.7,1.5,2,4.4,13.2,0.338,0.744,
"Darren Collison",11.4,1.4,3.4,2.5,3,0.6,6.9,1.7,0.2,1.9,2.3,14.7,0.419,0.841,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Bonzie Colson",13.6,1.8,5.8,2.8,3.4,2.1,2.8,1.4,0.6,1.7,2.3,16,0.305,0.815,
"Mike Conley",16.8,2.4,6.5,5,6,0.6,6.5,1.4,0.3,2.1,2,22,0.362,0.839,
"Pat Connaughton",10,1.8,5.4,1,1.3,1.4,3.1,0.8,0.6,1.1,2.6,11.9,0.344,0.77,
"Quinn Cook",14.1,2.5,6.1,1,1.2,0.8,4.1,0.7,0.2,1.7,3,16.8,0.412,0.791,
"DeMarcus Cousins",17.9,1.7,5.2,5.7,7.6,2.1,5,1.6,1.6,4,4.2,24.2,0.331,0.749,
"Robert Covington",11.6,2.6,7.1,1.9,2.4,0.9,1.9,2,1.2,1.7,3.5,14.3,0.367,0.802,
"Allen Crabbe",12.4,3,7.7,1.7,2.1,0.5,1.8,0.8,0.5,1.4,3,14.6,0.385,0.802,
"Torrey Craig",8.9,1.4,4.3,1.3,1.9,2.1,1.8,0.9,1,1.2,4,10.6,0.322,0.698,
"Jamal Crawford",14.3,2,6.1,2.5,3,0.4,5.1,0.9,0.3,2.6,2.2,16,0.326,0.852,
"Mitch Creek",13,1.3,4,2.9,3.9,2.2,3.9,1.2,0.6,1.8,2.9,16.4,0.328,0.751,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Jae Crowder",12.6,2.5,7.5,2.3,3.1,1,2.1,1.1,0.5,1.4,2.9,15.1,0.335,0.755,
"Dante Cunningham",7.7,1.3,3.4,0.7,1.1,1.7,1.6,1,0.6,0.9,2.7,9.1,0.388,0.684,
"Seth Curry",12.2,2.7,6.2,1.3,1.6,0.7,2.2,1,0.3,1.6,2.5,15.2,0.439,0.831,
"Stephen Curry",19.9,5,11.6,4.5,4.9,0.8,5.9,1.5,0.3,3.1,2.6,28.2,0.427,0.91,
"Troy Daniels",13.1,3.6,9.4,1.2,1.5,0.6,1.4,0.9,0.2,1.3,3.3,15.6,0.39,0.818,
"Anthony Davis",19.5,0.8,2.5,6.5,8.1,2.9,3.3,1.6,2.5,2.2,2.4,27.8,0.337,0.809,
"Deyonta Davis",10.1,0.3,1,1.8,2.6,2.7,1.9,0.8,1.4,1.3,4.2,13.8,0.353,0.684,
"Ed Davis",7.7,0.1,0.3,2.3,3.6,4.8,1.5,0.8,1,1.6,5.2,11.4,0.313,0.636,
"Tyler Davis",13.4,1.7,4.7,2.7,3.5,1.8,3.7,1.2,0.8,2,3,16.9,0.366,0.775,
"Dewayne Dedmon",11.3,1.5,4,1.9,2.4,2.4,2.1,1.3,1.4,1.9,4.4,14.8,0.373,0.792,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Sam Dekker",11.4,0.9,3.2,1.4,2.2,2.2,2.1,1.4,0.4,1.2,2.4,13.3,0.293,0.647,
"Ángel Delgado",13.2,1.6,4.4,2.6,3.6,1.8,3.4,1.3,0.7,1.9,3.2,16,0.361,0.741,
"Matthew Dellavedova",10.1,1.7,4.9,1.7,2.1,0.5,7.1,0.8,0.1,2.7,3.2,11.5,0.35,0.825,
"Luol Deng",11.1,1.3,4.1,2,2.7,1.6,2.1,1.3,0.6,1.4,2.2,13.3,0.318,0.727,
"DeMar DeRozan",18.1,0.5,1.8,5.4,6.5,0.8,5.8,1.1,0.4,2.5,2.2,22.9,0.278,0.828,
"Marcus Derrickson",14.5,2.8,6.5,2.5,3.3,2.4,2.8,0.8,0.7,1.9,3.5,19.3,0.434,0.781,
"Cheick Diallo",11.3,0.2,0.7,2.4,3.1,2.9,1.6,1.1,1.3,1.9,4.4,16,0.35,0.759,
"Hamidou Diallo",11.7,0.6,2.4,2.6,3.9,2.4,1.8,1.4,0.7,1.7,4.6,14.3,0.268,0.656,
"Gorgui Dieng",11.6,0.6,1.8,2.5,3.1,2.7,2.3,1.4,1.2,1.8,4.1,14.5,0.336,0.807,
"Spencer Dinwiddie",14.1,2.2,6.5,4.5,5.6,0.6,6.5,0.9,0.4,2.4,3.2,18.8,0.337,0.809,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Donte DiVincenzo",11.5,1.9,6.5,1.3,1.8,1.5,3,1.2,0.6,1.8,3.2,13.2,0.292,0.766,
