"Player","FG","FGA","3P","3PA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","FG%","3P%","FT%"
,,,,,,,,,,,,,,,
"Alex Poythress",10.7,1.3,3.5,2.1,3,2.7,2.3,0.7,0.9,1.6,4.7,13.6,0.374,0.68,
"Zhou Qi",11.9,1.3,4.6,2.5,3.3,1.5,2.7,1,1.6,2.3,3.2,13.8,0.286,0.744,
"Ivan Rabb",11,0.3,1.1,2.4,3.3,3.3,2.8,0.9,0.8,1.9,4,14.8,0.301,0.745,
"Chasson Randle",11,2.1,5.4,2.3,3.2,0.7,4.5,1.2,0.3,2.1,4.2,14,0.394,0.733,
"Julius Randle",16.2,0.8,2.3,5.2,7.2,2.7,3.7,0.8,0.7,3.3,4.1,23.3,0.336,0.732,
"J.J. Redick",15.2,3.4,8.5,3.3,3.7,0.3,3.1,0.6,0.2,1.6,2.1,20,0.398,0.888,
"Davon Reed",11.8,1.6,4.7,1.7,2.3,1.1,2.8,1.2,0.5,1.7,2.7,12.9,0.35,0.745,
"Cameron Reynolds",11.8,2.5,6.2,1.7,2.1,1,2.6,1,0.5,1.2,3.4,14.8,0.402,0.816,
"Josh Richardson",13.4,2.1,5.7,2.4,2.8,0.8,3.8,1.3,0.7,1.7,2.8,15.9,0.364,0.853,
"Malachi Richardson",11.2,1.8,5.4,2.1,2.7,0.9,1.9,1,0.3,1.8,3.4,12.8,0.331,0.781,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Austin Rivers",11.7,2,5.8,1.4,2.2,0.5,3.4,1,0.4,1.5,3.3,13.2,0.345,0.61,
"Devin Robinson",12.7,1.1,3.2,2.9,4,1.9,3.1,1.3,1.3,1.5,3.5,17,0.333,0.715,
"Duncan Robinson",11.8,2,6.2,1.8,2.4,1,2.4,1.1,0.4,1.5,2.8,14.1,0.318,0.743,
"Glenn Robinson",10.2,1.2,3.7,1.8,2.3,1.2,1.6,1,0.5,1.1,2.3,12,0.34,0.783,
"Jerome Robinson",12.6,2,5.8,1.4,1.9,0.8,2.7,1.2,0.5,1.6,4.4,14.3,0.338,0.739,
"Mitchell Robinson",8.4,0.2,0.5,2.3,3.6,4.5,1.3,1.4,4,1,5.3,13.6,0.371,0.631,
"Rajon Rondo",11.1,1.2,3.5,0.7,1.1,0.9,9.6,1.5,0.2,3.2,2.7,11.3,0.348,0.629,
"Derrick Rose",18.2,1.1,3.3,3.5,4.1,1,5.1,0.8,0.3,2.3,1.6,21.8,0.347,0.854,
"Terrence Ross",16,3.2,8.6,2,2.3,0.5,2.3,1.3,0.5,1.5,2.2,18.9,0.377,0.852,
"Terry Rozier",13.4,2.4,6.6,1.7,2.2,0.9,4.4,1.4,0.4,1.4,2.1,14.8,0.367,0.782,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Ricky Rubio",13.1,1.4,4.4,3.6,4.2,0.7,7.5,1.8,0.2,3.3,3.3,15.8,0.324,0.859,
"D'Angelo Russell",20.9,3.2,8.7,2.5,3.3,0.8,7.8,1.4,0.4,3.7,2.2,24.1,0.369,0.778,
"Domantas Sabonis",13.3,0.4,0.9,3.6,4.9,3.3,3.7,0.9,0.6,2.8,4.4,18.8,0.388,0.732,
"Brandon Sampson",11.5,1.8,4.8,1.6,2.1,1,2.6,1.3,0.6,2,3.1,14.3,0.38,0.749,
"JaKarr Sampson",12,1.2,3.1,2.6,3.4,1.7,1.9,1,1.4,1.4,3.5,16.1,0.38,0.764,
"Dario Šarić",13.2,2.2,5.8,2.6,3,2.3,2.7,0.8,0.3,2,2.9,16.5,0.375,0.859,
"Tomáš Satoranský",8.9,1.1,2.6,2,2.5,1.4,6.3,1.3,0.3,2,2.9,11.8,0.402,0.804,
"Dennis Schröder",17.7,1.7,5.2,3.2,3.8,0.7,5.8,1.1,0.2,2.9,2.7,20.2,0.333,0.833,
"Mike Scott",11.8,2.2,5.6,0.9,1.4,1.2,2,0.7,0.3,1.5,3.9,13.6,0.393,0.681,
"Thabo Sefolosha",9.9,1.6,4,1.4,1.9,0.9,1.9,2.2,0.5,1.5,2.5,12.2,0.392,0.736,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Wayne Selden",12.4,1.6,4.7,1.9,2.6,1,2.9,0.9,0.3,2.1,3.2,14,0.344,0.739,
"Collin Sexton",16.4,1.7,4.1,3,3.6,0.9,3.5,0.7,0.1,2.5,2.5,19.3,0.412,0.842,
"Landry Shamet",11.3,3.3,7.6,1.6,2,0.5,2.5,0.8,0.3,1,3,15,0.43,0.809,
"Iman Shumpert",10.5,2.1,6,1.1,1.4,0.8,2.6,1.3,0.6,1.4,3,11.4,0.346,0.785,
"Pascal Siakam",12.6,1,2.9,2.8,3.6,1.8,3.4,1.1,0.8,2,3.4,17.4,0.34,0.768,
"Jordan Sibert",13.2,1.9,4.9,2.6,3.4,1.5,3.6,1.1,0.7,2,3,16.9,0.385,0.768,
"Ben Simmons",13,0.1,0.3,3.2,5.2,2.2,8.3,1.6,0.9,3.5,2.7,17.8,0.234,0.603,
"Jonathon Simmons",12.5,1.1,3.5,2.8,3.7,1,3.6,1,0.4,2.4,3.1,14.5,0.305,0.756,
"Kobi Simmons",11.3,1,2.9,1.8,2.1,1,3.8,1.1,0.4,2.3,3.2,12.9,0.333,0.879,
"Anfernee Simons",14.5,2.2,5.9,2.6,3.8,1.2,3.6,0.8,0.4,2.3,2.7,18.3,0.364,0.678,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Marcus Smart",10.2,1.9,5.5,2,2.6,1,5.4,2.1,0.5,2.2,3.1,12.2,0.347,0.789,
"Dennis Smith",16.2,1.7,5.3,2.4,3.6,0.9,6.1,1.5,0.4,3.4,2.9,18,0.33,0.674,
"Ish Smith",14,1,2.9,1.4,2,0.6,6.1,1,0.4,1.9,2.8,14.9,0.327,0.729,
"J.R. Smith",10.5,2.2,6.2,0.8,1.2,0.5,2.5,1.2,0.3,1.4,2.7,11.2,0.356,0.728,
"Jason Smith",12.3,1.3,4,2.2,2.7,2.2,2.3,0.7,1.4,2.2,5,14,0.32,0.814,
"Zhaire Smith",12.3,1.9,4.9,2.4,3.2,1.4,3.6,1,0.7,2,2.8,15.6,0.378,0.772,
"Tony Snell",9,2.1,5.2,0.9,1.1,0.6,1.9,0.8,0.5,0.7,2.3,11.1,0.398,0.832,
"Ray Spalding",12.4,0.9,2.8,1.9,3.2,2.6,2.6,1.7,1.3,2.1,4.2,15.3,0.323,0.592,
"Omari Spellman",11.3,2,5.5,1.7,2.3,3,2.4,1.2,1.1,1.5,2.9,13.2,0.356,0.735,
"Nik Stauskas",11.6,2.4,6.3,2,2.4,0.6,3,0.8,0.4,1.9,2,13.9,0.378,0.84,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"D.J. Stephens",13.2,1.6,4.6,2.5,3.3,1.5,3.5,1.3,0.7,2.2,3,16.3,0.354,0.766,
"Lance Stephenson",13.7,1.8,5.3,1.7,2.4,1.1,4.5,1.1,0.3,2.6,3.5,15.2,0.34,0.682,
"Edmond Sumner",12,1.4,4.6,2.6,3.8,1.6,2.6,1.7,0.8,1.9,3.8,13.9,0.309,0.688,
"Caleb Swanigan",11.7,0.8,2.6,2,2.8,2.6,2.9,1.2,0.5,2.9,4.9,12.5,0.292,0.722,
"Jayson Tatum",14.2,1.7,4.2,3,3.6,1,2.4,1.3,0.9,1.7,2.4,18.1,0.402,0.848,
"Jeff Teague",12.2,1.2,3.4,3.5,4.2,0.5,8.4,1.4,0.5,2.8,2.6,15.2,0.35,0.826,
"Garrett Temple",9.4,1.7,4.8,1.4,1.9,0.6,2.3,1.3,0.6,1.5,3.4,11,0.353,0.754,
"Miloš Teodosić",11.4,2.5,6.7,1.4,1.8,0.7,6.2,0.8,0.3,3.3,3.8,13.6,0.372,0.774,
"Jared Terrell",13,1.6,5,2,2.9,1.1,3.8,1.1,0.7,2.5,3.9,14.2,0.31,0.7,
"Emanuel Terry",13,1.5,4.2,2.7,3.8,2,3.7,1.6,0.7,2.2,3.4,16.8,0.365,0.72,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Daniel Theis",10.3,1,2.7,2.3,3.1,3.3,2.6,1,1.6,1.6,5.9,14.4,0.364,0.747,
"Isaiah Thomas",18.3,2.6,7.9,5.5,6.4,0.8,5.7,0.9,0.2,3.3,2.6,23.2,0.329,0.858,
"Khyri Thomas",12.9,1.8,5.6,1.9,2.7,1.1,2.5,1.2,0.9,1.3,3.6,14,0.321,0.721,
"Lance Thomas",8.7,1.2,3.6,1.4,1.7,1.1,1.4,0.8,0.4,1.2,3.6,9.5,0.342,0.786,
"Klay Thompson",18.2,3.2,7.9,1.7,2.1,0.5,2.6,1,0.6,1.7,2,22.1,0.412,0.822,
"Tristan Thompson",9.9,0.1,0.3,1.9,3.1,4.6,2.1,0.8,0.7,1.5,2.9,12.6,0.351,0.607,
"Sindarius Thornwell",7.7,0.8,2.2,2.3,3.2,1,2.4,1.5,0.8,1.9,3.9,9.6,0.337,0.715,
"Anthony Tolliver",9.3,2.7,7,1.8,2.3,0.8,1.8,0.7,0.6,1.3,3,12.4,0.395,0.781,
"Karl-Anthony Towns",17,1.8,4.3,4.8,5.7,3.4,3.2,0.9,1.6,2.8,3.7,24.8,0.409,0.845,
"Gary Trent",14.4,1.7,5.5,2,3,1.1,2.9,0.8,0.7,1.7,2.3,15.6,0.31,0.676,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Allonzo Trier",12.8,1.3,3.4,4.3,5.3,0.9,3.1,0.7,0.4,2.7,2.9,17.4,0.396,0.805,
"P.J. Tucker",7.1,1.8,4.8,0.7,1,1.5,1.3,1.6,0.5,1,3.3,8.1,0.368,0.715,
"Evan Turner",10.4,0.5,1.9,1.7,2.3,0.8,4.9,0.8,0.5,2.2,2.7,11.6,0.279,0.762,
"Myles Turner",12.9,1.2,3.1,2.8,3.7,1.8,2,1,2.9,1.7,3.4,16.9,0.384,0.766,
"Ekpe Udoh",7.8,0.3,0.9,2.1,3,2.7,2.8,1.5,2.9,1.3,4.2,11,0.344,0.702,
"Tyler Ulis",12.4,1,3.2,1.9,2.4,0.7,6.5,1.5,0.2,2.6,2.6,13.1,0.306,0.815,
"Jonas Valančiūnas",15.5,0.5,1.5,4,5,3.5,2,0.7,1.5,2.5,4.2,21.8,0.347,0.8,
"Jarred Vanderbilt",12.3,1.2,3.5,2.9,4,2.2,3.1,1.8,0.7,2.6,3.3,15.9,0.354,0.715,
"Fred VanVleet",12.5,2.3,5.9,2.1,2.5,0.5,6,1.3,0.4,1.7,2.5,15,0.393,0.837,
"Noah Vonleh",9.4,0.9,2.7,2.2,3.1,2.5,2.4,0.9,1,1.7,3.5,12,0.339,0.705,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Nikola Vučević",18.6,1.2,3.4,2.3,2.9,2.9,4.2,1.2,1.3,2.3,2.5,22.2,0.347,0.782,
"Dwyane Wade",17.6,1.3,4.2,3.2,4.5,1.3,5.3,1.2,0.8,3.2,2.5,19.5,0.315,0.714,
"Moritz Wagner",13.6,1.8,5.8,3.3,4.1,1.5,2.5,1,1,2.8,4.1,17.1,0.311,0.809,
"Dion Waiters",15.4,2.8,7.8,1.3,2.1,0.4,4.1,1,0.4,2.3,2.4,16.9,0.364,0.635,
"Kemba Walker",19.8,3.1,8.6,4.6,5.4,0.6,5.9,1.2,0.4,2.5,1.6,24.9,0.366,0.848,
"Lonnie Walker",13.5,1.7,4.4,2.6,3.3,0.9,3.4,1.6,0.8,1.7,2.6,15.8,0.379,0.788,
"John Wall",17.4,1.5,4.7,4.3,5.9,0.6,9.3,1.6,0.9,3.9,2.2,21.1,0.326,0.731,
"Tyrone Wallace",11.8,0.5,1.8,2.2,3.3,1.1,2.8,1.2,0.5,2,4,13.1,0.281,0.655,
"Taurean Waller-Prince",13.7,2.6,6.7,2.3,2.8,0.7,2.9,1.3,0.6,2.5,2.9,17,0.391,0.826,
"Brad Wanamaker",11.8,1.7,4.3,2.5,3.1,0.7,5.1,1.2,0.4,2,3.4,15.2,0.389,0.823,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"T.J. Warren",16.4,1.2,3.2,2.8,3.6,1.5,1.7,1.3,0.7,1.4,2.9,20.3,0.381,0.786,
"Julian Washburn",9.4,1.1,3.9,1.3,1.7,1.3,2.6,1.6,0.5,1.4,2.6,10,0.279,0.763,
"Yuta Watanabe",11.9,1.1,4,2.1,2.8,1.2,2.7,1,0.5,1.6,2.7,12.4,0.263,0.745,
"Thomas Welsh",13.2,2,5.1,2.4,3.2,1.3,4,1,0.6,1.9,3,17.2,0.382,0.744,
"Russell Westbrook",20.6,1.6,5.3,4.8,6.8,1.6,10.2,1.8,0.4,4.6,3,24.2,0.299,0.711,
"Derrick White",11.4,1.1,3.1,2.1,2.7,0.8,5.3,1.4,1,2,3,14.2,0.356,0.771,
"Okaro White",10.3,1.4,4,2,2.6,1.7,2.5,0.9,0.7,1.6,3.1,12.4,0.338,0.788,
"Hassan Whiteside",14.6,0.1,0.5,2.7,5,4.9,1.3,1,2.6,2.2,3.8,19,0.277,0.542,
"Andrew Wiggins",16.6,1.5,4.5,3,4.3,1.1,2.4,1,0.6,1.9,2.1,19,0.346,0.702,
"Alan Williams",13.1,0.7,2.1,3,4.5,2.9,2.8,1.4,1,2.1,4.5,16.6,0.34,0.673,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"C.J. Williams",10.7,1.3,4.2,1,1.3,0.8,2.8,1.5,0.5,1.4,3.4,12.1,0.308,0.751,
"Johnathan Williams",11.5,0.5,1.6,2.7,4.3,3.7,2,0.9,0.7,1.7,5,15.9,0.333,0.62,
"Kenrich Williams",9.8,1.7,5.1,0.7,1,1.8,2.9,1.5,0.7,1.3,3.1,10.4,0.341,0.727,
"Lou Williams",19.4,2.2,6.2,6.8,7.8,0.7,6.3,1.1,0.3,3.2,1.6,25.4,0.356,0.873,
"Marvin Williams",10.9,2.2,6,1.5,1.8,1.3,1.7,1.1,0.9,1,2.5,13,0.371,0.799,
"Robert Williams",9,0.6,1.8,1.7,2.5,2.8,2,1.2,3.6,1.5,3.9,12.9,0.365,0.696,
"Troy Williams",11.9,1.5,4.7,1.7,2.5,1.6,2,1.5,0.8,1.6,3.8,14.2,0.323,0.683,
"D.J. Wilson",10.6,1.9,5,1.3,2.1,1.8,2.4,0.8,0.8,1.4,3.3,12.4,0.371,0.615,
"Justise Winslow",12.8,1.5,4.1,1.6,2.5,1.3,4.6,1.3,0.5,2.3,3.1,14.4,0.382,0.648,
"Christian Wood",15.1,1.4,4,4.6,6.2,2.2,2.1,1.1,1.2,2.3,2.7,21.4,0.352,0.746,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Delon Wright",11.6,1.2,3.7,2.5,3.2,1.4,5.1,1.8,0.7,1.8,2.2,14,0.324,0.801,
"Guerschon Yabusele",11.3,1.5,4.5,2.4,3.3,2.6,2.7,1,0.9,2,3.8,14.3,0.341,0.716,
"Nick Young",13,3.1,8.1,1.6,1.9,0.6,1.4,0.9,0.3,1.2,2.8,15.5,0.378,0.834,
"Thaddeus Young",12,0.8,2.3,1.1,1.7,2.6,2.6,1.8,0.5,1.7,2.7,14.1,0.34,0.632,
"Trae Young",17.7,2.3,6.7,4.9,5.9,1,9.3,1.1,0.3,4.2,2,22.5,0.337,0.834,
"Cody Zeller",10,0.3,0.8,3.2,4.2,3.1,2.7,1.1,1.2,1.8,4.5,14.3,0.327,0.76,
"Tyler Zeller",11.3,0.5,1.4,2.3,3.2,3.2,2,0.6,1.1,1.6,4.3,14.7,0.344,0.729,
"Ante Žižić",11.3,0.2,0.6,3.1,4.3,3.4,2,0.5,0.9,2,3.7,16.1,0.366,0.72,
"Ivica Zubac",12.9,0.2,0.5,3.4,4.2,3.7,2.4,0.6,1.6,2.3,4.3,17.8,0.351,0.794,
